# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionTerm.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionVisitor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/DefinitionVisitorExt.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionFormatOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionItemBlockParser.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionListBlockPreProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionListItemBlockPreProcessor.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionNodeFormatter.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionNodeRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/DefinitionOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-definition/src/main/java/com/vladsch/flexmark/ext/definition/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/Emoji.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiExtension.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiImageType.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiShortcutType.java		not_started	ssg-md	2026-03-30			2026-03-30
